time_s,f_des_N,f_rfob_N,f_ati_N,f_err_N,f_joint_Nm,tau_in_Nm,qdot_des_rad_s,qdot_meas_rad_s,q_des_rad,q_rad,tau_meas_Nm,b_adm,k_spring,kp_motor,kd_motor,lpf_alpha,vel_limit,wq_rfob
0.490234,0.000000,-0.028329,0.589980,0.028329,0.005666,-0.008547,0.001171,0.102564,0.000488,-0.000191,-0.015385,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.500625,0.000000,-0.063538,0.562139,0.063538,0.012708,-0.015385,0.002580,0.034188,0.000515,-0.000191,-0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.511360,0.000000,-0.058203,0.567964,0.058203,0.011641,-0.008547,0.002366,0.073260,0.000540,-0.000191,-0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.520011,0.000000,-0.070010,0.567964,0.070010,0.014002,-0.011966,0.002839,0.004884,0.000565,-0.000191,-0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.530050,0.000000,-0.050384,0.571950,0.050384,0.010077,-0.005128,0.002054,0.004884,0.000585,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.542977,0.000000,-0.035260,0.571950,0.035260,0.007052,0.001709,0.001449,-0.053724,0.000604,-0.000191,-0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.550741,0.000000,-0.005298,0.642239,0.005298,0.001060,-0.005128,0.000250,-0.034188,0.000606,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.560307,0.000000,0.005316,0.577892,-0.005316,-0.001063,0.001709,-0.000174,0.004884,0.000604,-0.000191,-0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.570000,0.000000,-0.006183,0.577892,0.006183,0.001237,-0.008547,0.000285,-0.043956,0.000607,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.580779,0.000000,0.005737,0.563995,-0.005737,-0.001147,0.001709,-0.000191,0.014652,0.000605,-0.000191,-0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.590464,0.000000,-0.011599,0.530523,0.011599,0.002320,-0.008547,0.000502,0.053724,0.000610,-0.000191,0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.600206,0.000000,-0.030544,0.530523,0.030544,0.006109,0.005128,0.001260,-0.004884,0.000622,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.610000,0.000000,-0.017731,0.626755,0.017731,0.003546,0.001709,0.000747,0.034188,0.000629,-0.000191,-0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.626225,0.000000,-0.027051,0.595288,0.027051,0.005410,-0.008547,0.001120,-0.024420,0.000648,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.630493,0.000000,-0.008141,0.595288,0.008141,0.001628,0.001709,0.000364,0.004884,0.000649,-0.000191,-0.015385,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.640000,0.000000,-0.014095,0.555538,0.014095,0.002819,-0.015385,0.000602,-0.043956,0.000655,-0.000191,0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.650211,0.000000,0.002921,0.555538,-0.002921,-0.000584,0.005128,-0.000079,-0.043956,0.000654,-0.000191,-0.018803,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.660156,0.000000,0.003585,0.570042,-0.003585,-0.000717,-0.018803,-0.000105,-0.004884,0.000653,-0.000191,-0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.670398,0.000000,-0.010855,0.536982,0.010855,0.002171,-0.005128,0.000472,0.073260,0.000658,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.680657,0.000000,-0.042093,0.536982,0.042093,0.008419,0.001709,0.001722,-0.024420,0.000675,-0.000191,-0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.690077,0.000000,-0.022885,0.634003,0.022885,0.004577,-0.001709,0.000954,-0.014652,0.000684,-0.000191,-0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.700141,0.000000,-0.014937,0.586444,0.014937,0.002987,-0.001709,0.000636,0.024420,0.000691,-0.000191,0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.710393,0.000000,-0.018501,0.586444,0.018501,0.003700,0.008547,0.000778,-0.053724,0.000699,-0.000191,-0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.720000,0.000000,0.003818,0.560866,-0.003818,-0.000764,-0.008547,-0.000115,-0.014652,0.000698,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.737230,0.000000,0.004173,0.552245,-0.004173,-0.000835,0.001709,-0.000129,-0.004884,0.000696,-0.000191,0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.740327,0.000000,0.001997,0.552245,-0.001997,-0.000399,0.011966,-0.000042,0.004884,0.000695,-0.000191,0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.750116,0.000000,0.001298,0.606928,-0.001298,-0.000260,0.008547,-0.000014,0.024420,0.000695,-0.000191,-0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.760352,0.000000,-0.006602,0.606928,0.006602,0.001320,-0.001709,0.000302,-0.043956,0.000698,-0.000191,0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.770152,0.000000,0.018045,0.599306,-0.018045,-0.003609,0.011966,-0.000684,0.034188,0.000692,-0.000191,-0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.780651,0.000000,0.002455,0.572771,-0.002455,-0.000491,-0.001709,-0.000060,0.014652,0.000691,-0.000191,-0.025641,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.790243,0.000000,-0.010652,0.572771,0.010652,0.002130,-0.025641,0.000464,0.043956,0.000695,-0.000191,-0.018803,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.800000,0.000000,-0.034754,0.555655,0.034754,0.006951,-0.018803,0.001428,0.004884,0.000709,-0.000191,0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
