time_s,q1_rad,q2_rad,q3_rad,qdot1_rad_s,qdot2_rad_s,qdot3_rad_s,tau_meas1_Nm,tau_meas2_Nm,tau_meas3_Nm,f_des_N,f_raw_N,f_filt_N,f_err_N,xdot_des_x,xdot_des_y,xdot_des_z,qdot_des1_rad_s,qdot_des2_rad_s,qdot_des3_rad_s,q_des1_rad,q_des2_rad,q_des3_rad,kp1,kp2,kp3,kd1,kd2,kd3,m_adm,xdot_alpha,b_adm,k_adm,lpf_alpha,vel_limit
296.1387788000011,-0.0036240177004653873,0.7912535286488136,-0.7771389333943695,-0.0439560439560438,0.03418803418803407,-0.0146520146520146,0.02564102564102555,0.4666666666666668,0.34700854700854666,8.0,7.994154930114746,7.986667240098867,0.013332759901133251,0.00022496276866053837,2.3341852839386303e-05,-8.248665615075582e-05,0.0,-0.0021266067038342162,0.0033079697749776532,0.0,0.8118274879095942,-0.7492204283892607,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.1416057000006,-0.0036240177004653873,0.7912535286488136,-0.7771389333943695,0.03418803418803407,0.004884004884004867,-0.0146520146520146,0.03931623931623918,0.45641025641025657,0.32991452991452963,8.0,7.994154930114746,7.987416009100455,0.012583990899544872,0.00021426606863784726,2.3341852839386303e-05,-8.248665615075582e-05,0.0,-0.0020249246828499493,0.0031169315840673005,0.0,0.8118217636500094,-0.7492116171353673,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.144056000001,-0.0036240177004653873,0.7912535286488136,-0.7771389333943695,0.03418803418803407,0.06349206349206327,-0.03418803418803407,0.07350427350427324,0.4735042735042736,0.33333333333333304,8.0,7.994154930114746,7.988089901201885,0.011910098798114888,0.0002046390386174189,2.3341852839386303e-05,-8.248665615075582e-05,0.0,-0.0019334108639640496,0.002944997212247869,0.0,0.8118170262133686,-0.7492044010086969,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.1473826000001,-0.0036240177004653873,0.7912535286488136,-0.7771389333943695,0.004884004884004867,0.0439560439560438,0.0146520146520146,0.059829059829059617,0.476923076923077,0.34358974358974326,8.0,7.994154930114746,7.988696404093171,0.011303595906828612,0.00019597471159904354,2.3341852839386303e-05,-8.248665615075582e-05,0.0,-0.0018510484269668355,0.0027902562776105618,0.0,0.8118108685156731,-0.7491951189421663,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.16647600000033,-0.0036240177004653873,0.7912535286488136,-0.7771389333943695,0.05372405372405353,0.004884004884004867,-0.024420024420024333,0.0495726495726494,0.45299145299145316,0.35042735042735007,8.0,7.979552745819092,7.987782038265763,0.012217961734236837,0.00020903708056201818,2.3341852839386303e-05,-8.248665615075582e-05,0.0,-0.0019752183178845827,0.0030235442384205927,0.0,0.811773154882242,-0.7491373892026039,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.18461410000054,-0.0036240177004653873,0.7912535286488136,-0.7771389333943695,-0.024420024420024333,-0.0439560439560438,0.004884004884004867,0.059829059829059617,0.4700854700854702,0.3811965811965816,8.0,8.004926681518555,7.9894965025910425,0.010503497408957507,0.00018454473305802775,2.3341852839386303e-05,-8.248665615075582e-05,0.0,-0.0017423959158753926,0.0025861220663128915,0.0,0.8117415511308799,-0.7490904818619524,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.1986846,-0.0040054932478827965,0.7912535286488136,-0.7771389333943695,-0.1025641025641022,0.004884004884004867,0.0146520146520146,0.07008547008546984,0.49401709401709404,0.3675213675213671,8.0,8.020401000976562,7.992586952429595,0.0074130475704050625,0.00014040482264374632,2.579887746587462e-05,-8.248665615075582e-05,0.0,-0.0013226251275091747,0.001797464924861077,0.0,0.811722941134024,-0.7490651906317282,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.2146851000016,-0.0036240177004653873,0.7912535286488136,-0.776757457846952,-0.024420024420024333,0.09279609279609247,0.06349206349206327,0.0529914529914528,0.49743589743589745,0.3641025641025637,8.0,8.035487174987793,7.996876974685415,0.0031230253145846376,7.912812683929039e-05,2.334178503583776e-05,-8.379443848003058e-05,0.0,-0.0007401172850279195,0.0006921610577522783,0.0,0.8117110988874037,-0.7490541157087225,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.22989960000086,-0.0036240177004653873,0.7912535286488136,-0.7771389333943695,0.03418803418803407,0.024420024420024333,-0.073260073260073,0.07350427350427324,0.45641025641025657,0.34358974358974326,8.0,8.02149772644043,7.999339049860917,0.0006609501390828498,4.393691491696121e-05,2.3341852839386303e-05,-8.248665615075582e-05,0.0,-0.00040578863657965387,7.493046997574422e-05,0.0,0.8117049250161927,-0.7490529756790871,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.2438359000007,-0.0040054932478827965,0.7912535286488136,-0.7771389333943695,-0.1318681318681314,-0.11233211233211193,0.024420024420024333,0.05641025641025621,0.4871794871794872,0.33675213675213644,8.0,8.00915241241455,8.00032038611628,-0.0003203861162806021,2.9927198548236808e-05,2.579887746587462e-05,-8.248665615075582e-05,0.0,-0.00027243472110786824,-0.0001756122564171943,0.0,0.811701128284189,-0.7490554230641762,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
