time_s,f_des_N,f_raw_N,f_filt_N,f_err_N,f_joint_Nm,qdot_des_rad_s,qdot_meas_rad_s,q_rad,tau_meas_Nm,b_adm,k_spring,kd_motor,lpf_alpha,vel_limit
0.500455,0.000000,-0.405384,-0.422553,0.422553,0.084511,0.016940,-0.053724,-0.000191,0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
0.510401,0.000000,-0.405384,-0.417402,0.417402,0.083480,0.016734,-0.073260,-0.000191,0.018803,5.000000,1.000000,0.500000,0.3000,2.0000
0.520142,0.000000,-0.422335,-0.418882,0.418882,0.083776,0.016793,-0.073260,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.530193,0.000000,-0.441328,-0.425615,0.425615,0.085123,0.017063,-0.151404,-0.000191,0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.540135,0.000000,-0.441328,-0.430329,0.430329,0.086066,0.017251,0.043956,-0.000191,0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.551058,0.000000,-0.445399,-0.434850,0.434850,0.086970,0.017432,-0.083028,-0.000191,0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
0.560389,0.000000,-0.369478,-0.415238,0.415238,0.083048,0.016648,0.004884,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.571627,0.000000,-0.369478,-0.401510,0.401510,0.080302,0.016099,0.034188,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.580177,0.000000,-0.432739,-0.410879,0.410879,0.082176,0.016473,0.043956,-0.000191,0.022222,5.000000,1.000000,0.500000,0.3000,2.0000
0.591240,0.000000,-0.432739,-0.417437,0.417437,0.083487,0.016736,0.083028,-0.000191,0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
0.600125,0.000000,-0.435703,-0.422917,0.422917,0.084583,0.016955,-0.014652,-0.000191,0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
0.610119,0.000000,-0.447374,-0.430254,0.430254,0.086051,0.017248,0.043956,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
0.620936,0.000000,-0.447374,-0.435390,0.435390,0.087078,0.017454,0.024420,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.630155,0.000000,-0.395242,-0.423346,0.423346,0.084669,0.016972,0.024420,-0.000191,0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.640000,0.000000,-0.412834,-0.420192,0.420192,0.084038,0.016846,-0.043956,-0.000191,0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.650110,0.000000,-0.412834,-0.417985,0.417985,0.083597,0.016758,0.034188,-0.000191,0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
0.660399,0.000000,-0.438693,-0.424197,0.424197,0.084839,0.017006,-0.014652,-0.000191,0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
0.670001,0.000000,-0.466153,-0.436784,0.436784,0.087357,0.017510,0.004884,-0.000191,0.018803,5.000000,1.000000,0.500000,0.3000,2.0000
0.680118,0.000000,-0.466153,-0.445595,0.445595,0.089119,0.017862,0.053724,-0.000191,0.022222,5.000000,1.000000,0.500000,0.3000,2.0000
0.690137,0.000000,-0.458808,-0.449559,0.449559,0.089912,0.018020,-0.024420,-0.000191,0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.701662,0.000000,-0.379826,-0.428639,0.428639,0.085728,0.017184,0.034188,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
0.711354,0.000000,-0.379826,-0.413995,0.413995,0.082799,0.016598,0.053724,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.721820,0.000000,-0.428361,-0.418305,0.418305,0.083661,0.016770,0.083028,-0.000191,0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
0.730503,0.000000,-0.428361,-0.421322,0.421322,0.084264,0.016891,0.024420,-0.000191,0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.740000,0.000000,-0.437465,-0.426165,0.426165,0.085233,0.017085,0.053724,-0.000191,0.025641,5.000000,1.000000,0.500000,0.3000,2.0000
0.750074,0.000000,-0.450920,-0.433591,0.433591,0.086718,0.017382,-0.004884,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
0.760293,0.000000,-0.450920,-0.438790,0.438790,0.087758,0.017590,-0.083028,-0.000191,0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.770638,0.000000,-0.404579,-0.428527,0.428527,0.085705,0.017179,0.014652,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.781907,0.000000,-0.397227,-0.419137,0.419137,0.083827,0.016804,0.034188,-0.000191,0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
0.790380,0.000000,-0.397227,-0.412564,0.412564,0.082513,0.016541,0.004884,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.801264,0.000000,-0.442319,-0.421491,0.421491,0.084298,0.016898,0.024420,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
0.810665,0.000000,-0.426020,-0.422849,0.422849,0.084570,0.016952,-0.004884,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
