time_s,f_raw_N,f_filt_N,f_joint_Nm,qdot_des_rad_s,qdot_meas_rad_s,q_rad,tau_meas_Nm,b_adm,k_spring,kd_motor,lpf_alpha,vel_limit
0.813592,-0.544567,-0.543696,-0.108739,-0.021710,0.083028,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
0.814618,-0.181828,-0.435136,-0.087027,-0.017367,-0.083028,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.815445,-0.181828,-0.359143,-0.071829,-0.014328,-0.014652,-0.000191,-0.018803,5.000000,1.000000,0.500000,0.3000,2.0000
0.816386,-0.181828,-0.305949,-0.061190,-0.012200,0.014652,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.817166,-0.181828,-0.268713,-0.053743,-0.010710,-0.053724,-0.000191,-0.022222,5.000000,1.000000,0.500000,0.3000,2.0000
0.817982,-0.181828,-0.242647,-0.048529,-0.009668,-0.004884,-0.000191,-0.022222,5.000000,1.000000,0.500000,0.3000,2.0000
0.818769,-0.181828,-0.224402,-0.044880,-0.008938,0.034188,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.819586,-0.181828,-0.211629,-0.042326,-0.008427,0.053724,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
0.820495,-0.181828,-0.202689,-0.040538,-0.008069,-0.043956,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.821306,-0.181828,-0.196431,-0.039286,-0.007819,0.014652,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.822140,-0.181828,-0.192050,-0.038410,-0.007644,-0.073260,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.822985,-0.181828,-0.188983,-0.037797,-0.007521,-0.024420,-0.000191,0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
0.823775,-0.181828,-0.186837,-0.037367,-0.007435,0.024420,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.824633,-0.181828,-0.185334,-0.037067,-0.007375,0.034188,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
0.825456,-0.181828,-0.184282,-0.036856,-0.007333,0.102564,-0.000191,0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.826232,-0.181828,-0.183546,-0.036709,-0.007304,0.122100,-0.000191,0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.827114,-0.181828,-0.183031,-0.036606,-0.007283,0.092796,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.828712,-0.181828,-0.182670,-0.036534,-0.007269,-0.141636,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
0.829591,-0.181828,-0.182417,-0.036483,-0.007259,-0.034188,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.830705,-0.117453,-0.162928,-0.032586,-0.006479,0.014652,-0.000191,-0.022222,5.000000,1.000000,0.500000,0.3000,2.0000
0.831537,-0.117453,-0.149285,-0.029857,-0.005933,0.043956,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
0.832408,-0.117453,-0.139735,-0.027947,-0.005551,-0.053724,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.840216,-0.117453,-0.133051,-0.026610,-0.005284,0.024420,-0.000191,0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
0.850273,-0.095966,-0.121925,-0.024385,-0.004839,0.024420,-0.000191,-0.035897,5.000000,1.000000,0.500000,0.3000,2.0000
0.860354,-0.095966,-0.114138,-0.022828,-0.004527,0.024420,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.870010,-0.498943,-0.229579,-0.045916,-0.009145,0.063492,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.880123,-0.248172,-0.235157,-0.047031,-0.009368,-0.043956,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.890117,-0.248172,-0.239062,-0.047812,-0.009524,-0.073260,-0.000191,-0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
0.900134,-0.148022,-0.211750,-0.042350,-0.008432,-0.014652,-0.000191,-0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
0.910150,-0.122174,-0.184877,-0.036975,-0.007357,-0.063492,-0.000191,-0.022222,5.000000,1.000000,0.500000,0.3000,2.0000
0.923509,-0.122174,-0.166066,-0.033213,-0.006604,0.083028,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.962378,-0.197719,-0.175562,-0.035112,-0.006984,-0.043956,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.963308,-0.197719,-0.182209,-0.036442,-0.007250,0.014652,-0.000191,-0.018803,5.000000,1.000000,0.500000,0.3000,2.0000
0.964138,-0.197719,-0.186862,-0.037372,-0.007436,0.004884,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
0.965178,-0.197719,-0.190119,-0.038024,-0.007567,-0.073260,-0.000191,-0.018803,5.000000,1.000000,0.500000,0.3000,2.0000
0.970176,-0.197719,-0.192399,-0.038480,-0.007658,0.053724,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
0.980101,-0.106431,-0.166609,-0.033322,-0.006626,-0.034188,-0.000191,-0.018803,5.000000,1.000000,0.500000,0.3000,2.0000
0.991461,-0.167029,-0.166735,-0.033347,-0.006631,0.004884,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.000000,-0.167029,-0.166823,-0.033365,-0.006635,-0.004884,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.014307,-0.421108,-0.243109,-0.048622,-0.009686,0.034188,-0.000191,-0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
1.020182,-0.363537,-0.279237,-0.055847,-0.011131,0.063492,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.030384,-0.363537,-0.304527,-0.060905,-0.012143,-0.063492,-0.000191,-0.022222,5.000000,1.000000,0.500000,0.3000,2.0000
1.040338,-0.144056,-0.256386,-0.051277,-0.010217,0.024420,-0.000191,0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.051774,-0.119452,-0.215305,-0.043061,-0.008574,0.112332,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.060592,-0.119452,-0.186549,-0.037310,-0.007424,-0.063492,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.070312,-0.155529,-0.177243,-0.035449,-0.007052,0.092796,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
1.080552,-0.610808,-0.307313,-0.061463,-0.012254,-0.063492,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.090693,-0.610808,-0.398362,-0.079672,-0.015896,0.004884,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.100368,-0.155396,-0.325472,-0.065094,-0.012981,0.043956,-0.000191,0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.110312,-0.114793,-0.262268,-0.052454,-0.010453,0.102564,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.121465,-0.114793,-0.218026,-0.043605,-0.008683,-0.024420,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.131368,-0.130556,-0.191785,-0.038357,-0.007633,-0.024420,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.140413,-0.130556,-0.173416,-0.034683,-0.006898,-0.083028,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.150246,-0.299137,-0.211132,-0.042226,-0.008407,-0.034188,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.162320,-0.463111,-0.286726,-0.057345,-0.011431,0.083028,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
1.170331,-0.463111,-0.339641,-0.067928,-0.013548,-0.073260,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
1.180757,-0.195097,-0.296278,-0.059256,-0.011813,-0.014652,-0.000191,0.018803,5.000000,1.000000,0.500000,0.3000,2.0000
1.190000,-0.134911,-0.247868,-0.049574,-0.009877,0.014652,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.200182,-0.134911,-0.213981,-0.042796,-0.008521,-0.043956,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.210306,-0.204122,-0.211023,-0.042205,-0.008403,0.024420,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.220865,-0.590405,-0.324838,-0.064968,-0.012955,-0.112332,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.230495,-0.590405,-0.404508,-0.080902,-0.016142,-0.043956,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.240370,-0.222835,-0.350006,-0.070001,-0.013962,0.083028,-0.000191,-0.018803,5.000000,1.000000,0.500000,0.3000,2.0000
