time_s,f_des_N,f_est_N,f_ati_N,f_err_N,tau_meas_Nm,qdot_des_rad_s,qdot_meas_rad_s,q_des_rad,q_rad,b_adm,k_spring,kp_motor,kd_motor,lpf_alpha,vel_limit
0.960091,0.000000,0.020330,-0.541760,-0.020330,0.015385,-0.000775,0.034188,0.000631,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.974146,0.000000,-0.005959,-0.541760,0.005959,-0.022222,0.000276,-0.034188,0.000635,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.980571,0.000000,-0.033827,-0.593830,0.033827,-0.029060,0.001391,-0.004884,0.000644,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.991702,0.000000,-0.008258,-0.597274,0.008258,0.018803,0.000368,-0.004884,0.000648,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.000024,0.000000,-0.001478,-0.597274,0.001478,0.005128,0.000097,0.112332,0.000649,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.010486,0.000000,0.007364,-0.618651,-0.007364,0.008547,-0.000256,-0.034188,0.000646,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.020280,0.000000,0.034951,-0.543257,-0.034951,0.029060,-0.001360,0.024420,0.000633,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.030203,0.000000,0.029671,-0.543257,-0.029671,0.001709,-0.001149,-0.053724,0.000621,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.040000,0.000000,0.008352,-0.594521,-0.008352,-0.015385,-0.000296,-0.083028,0.000619,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.050000,0.000000,0.022066,-0.600667,-0.022066,0.015385,-0.000844,-0.004884,0.000610,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.060328,0.000000,0.026200,-0.600667,-0.026200,0.008547,-0.001010,-0.004884,0.000600,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.070108,0.000000,0.026088,-0.624050,-0.026088,0.005128,-0.001005,-0.102564,0.000590,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.081237,0.000000,0.043093,-0.624256,-0.043093,0.022222,-0.001686,0.004884,0.000571,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.090202,0.000000,0.077209,-0.624256,-0.077209,0.042735,-0.003050,0.092796,0.000544,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.100319,0.000000,0.070314,-0.539699,-0.070314,0.008547,-0.002774,0.083028,0.000516,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.110314,0.000000,0.040867,-0.619039,-0.040867,-0.015385,-0.001597,-0.083028,0.000500,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
