time_s,q1,qd1,tau1,q2,qd2,tau2,q3,qd3,tau3,ref1,ref2,ref3,temp1,temp2,temp3
0.480000,0.013542,0.004884,0.124786,0.013924,0.278388,1.823932,-0.111200,-0.288156,0.309402,0.028117,0.072525,-0.071358,32.0,35.0,31.0
0.490000,0.013924,-0.043956,0.152137,0.016213,0.210012,1.823932,-0.113870,-0.317460,0.319658,0.029033,0.075240,-0.073995,32.0,35.0,31.0
0.500000,0.014305,0.112332,0.145299,0.018883,0.317460,1.717949,-0.116541,-0.161172,0.295726,0.029968,0.077975,-0.076643,32.0,35.0,31.0
0.510116,0.014687,0.053724,0.148718,0.021553,0.268620,1.745299,-0.119211,-0.278388,0.275214,0.030935,0.080759,-0.079329,32.0,35.0,31.0
0.520000,0.015068,0.014652,0.152137,0.024605,0.288156,1.714530,-0.121881,-0.161172,0.288889,0.031903,0.083492,-0.081959,32.0,35.0,31.0
0.530195,0.015831,0.161172,0.148718,0.028038,0.356532,1.721368,-0.124552,-0.161172,0.261538,0.032927,0.086324,-0.084673,32.0,35.0,31.0
0.540000,0.016213,0.053724,0.162393,0.031472,0.336996,1.615385,-0.127222,-0.239316,0.312821,0.033938,0.089056,-0.087282,32.0,35.0,31.0
0.550064,0.016976,0.112332,0.162393,0.034905,0.376068,1.652991,-0.129892,-0.307692,0.350427,0.035003,0.091866,-0.089954,32.0,35.0,31.0
0.560124,0.017357,0.004884,0.165812,0.038338,0.385836,1.615385,-0.132563,-0.258852,0.323077,0.036100,0.094680,-0.092618,32.0,35.0,31.0
0.570132,0.018120,0.024420,0.165812,0.041390,0.268620,1.615385,-0.135233,-0.219780,0.206838,0.037223,0.097480,-0.095256,32.0,35.0,31.0
0.580235,0.018883,0.151404,0.158974,0.044442,0.249084,1.594872,-0.137903,-0.395604,0.251282,0.038392,0.100306,-0.097906,32.0,35.0,31.0
0.590060,0.019646,0.151404,0.162393,0.047494,0.268620,1.656410,-0.140574,-0.219780,0.258120,0.039564,0.103050,-0.100465,32.0,35.0,31.0
0.600066,0.020409,0.151404,0.172650,0.049783,0.210012,1.721368,-0.142481,-0.053724,0.223932,0.040798,0.105839,-0.103052,32.0,35.0,31.0
0.610205,0.021172,0.043956,0.158974,0.052834,0.297924,1.656410,-0.145151,-0.317460,0.305983,0.042089,0.108657,-0.105650,32.0,35.0,31.0
0.620240,0.021935,0.043956,0.179487,0.055123,0.258852,1.646154,-0.147822,-0.278388,0.299145,0.043411,0.111434,-0.108195,32.0,35.0,31.0
0.630075,0.023079,0.063492,0.179487,0.057794,0.356532,1.728205,-0.150111,-0.317460,0.230769,0.044752,0.114144,-0.110661,32.0,35.0,31.0
0.640270,0.023842,0.102564,0.186325,0.060082,0.161172,1.745299,-0.152781,-0.327228,0.241026,0.046191,0.116937,-0.113185,32.0,35.0,31.0
0.650000,0.024605,0.131868,0.203419,0.063134,0.366300,1.721368,-0.155451,-0.307692,0.302564,0.047612,0.119586,-0.115561,32.0,35.0,31.0
0.660200,0.025368,0.004884,0.193162,0.065423,0.229548,1.758974,-0.157359,-0.200244,0.158974,0.049156,0.122343,-0.118016,32.0,35.0,31.0
0.670000,0.026513,0.043956,0.210256,0.067712,0.190476,1.779487,-0.160029,-0.288156,0.264957,0.050693,0.124970,-0.120336,32.0,35.0,31.0
0.680000,0.027657,0.151404,0.237607,0.070382,0.317460,1.676923,-0.161936,-0.141636,0.200000,0.052318,0.127628,-0.122663,32.0,35.0,31.0
0.690180,0.028801,0.161172,0.217094,0.073053,0.249084,1.721368,-0.164225,-0.210012,0.251282,0.054033,0.130307,-0.124988,32.0,35.0,31.0
