time_s,f_des_N,f_est_N,f_ati_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s,motor_kp,motor_kd
0.850156,0.000000,-0.076923,-0.049208,0.000000,-0.015385,-0.000191,0.102564,5.0000,0.1000
0.862868,0.000000,-0.008547,-0.048042,0.000000,-0.001709,-0.000191,0.043956,5.0000,0.1000
0.870303,0.000000,-0.042735,-0.048042,0.000000,-0.008547,-0.000191,-0.053724,5.0000,0.1000
0.880822,0.000000,-0.008547,-0.044299,0.000000,-0.001709,-0.000191,-0.034188,5.0000,0.1000
0.890247,0.000000,-0.025641,-0.044299,0.000000,-0.005128,-0.000191,-0.053724,5.0000,0.1000
0.900115,0.000000,-0.025641,-0.019316,0.000000,-0.005128,-0.000191,0.073260,5.0000,0.1000
0.910000,0.000000,-0.008547,-0.019316,0.000000,-0.001709,-0.000191,0.004884,5.0000,0.1000
0.920000,0.000000,-0.025641,-0.044388,0.000000,-0.005128,-0.000191,0.063492,5.0000,0.1000
0.931684,0.000000,0.008547,-0.043407,0.000000,0.001709,-0.000191,0.014652,5.0000,0.1000
0.940758,0.000000,0.025641,-0.055515,0.000000,0.005128,-0.000191,0.063492,5.0000,0.1000
0.950956,0.000000,-0.042735,-0.055515,0.000000,-0.008547,-0.000191,0.034188,5.0000,0.1000
0.961352,0.000000,-0.042735,-0.027732,0.000000,-0.008547,-0.000191,-0.053724,5.0000,0.1000
0.970189,0.000000,-0.008547,-0.027732,0.000000,-0.001709,-0.000191,-0.043956,5.0000,0.1000
0.980168,0.000000,-0.025641,-0.031406,0.000000,-0.005128,-0.000191,-0.024420,5.0000,0.1000
0.990071,0.000000,-0.008547,-0.045986,0.000000,-0.001709,-0.000191,-0.122100,5.0000,0.1000
1.002749,0.000000,0.008547,-0.046543,0.000000,0.001709,-0.000191,-0.034188,5.0000,0.1000
1.010446,0.000000,-0.042735,-0.046543,0.000000,-0.008547,-0.000191,0.053724,5.0000,0.1000
1.020729,0.000000,-0.025641,-0.043463,0.000000,-0.005128,-0.000191,-0.024420,5.0000,0.1000
1.030000,0.000000,0.008547,-0.043463,0.000000,0.001709,-0.000191,0.034188,5.0000,0.1000
1.040000,0.000000,-0.025641,-0.026570,0.000000,-0.005128,-0.000191,0.043956,5.0000,0.1000
1.050000,0.000000,-0.025641,-0.026570,0.000000,-0.005128,-0.000191,-0.024420,5.0000,0.1000
1.060000,0.000000,-0.008547,-0.042666,0.000000,-0.001709,-0.000191,-0.043956,5.0000,0.1000
1.071502,0.000000,-0.076923,-0.043737,0.000000,-0.015385,-0.000191,-0.043956,5.0000,0.1000
1.080108,0.000000,-0.042735,-0.055547,0.000000,-0.008547,-0.000191,-0.102564,5.0000,0.1000
1.090119,0.000000,-0.059829,-0.055547,0.000000,-0.011966,-0.000191,-0.014652,5.0000,0.1000
1.100150,0.000000,-0.042735,-0.034435,0.000000,-0.008547,-0.000191,-0.004884,5.0000,0.1000
1.110202,0.000000,-0.059829,-0.034435,0.000000,-0.011966,-0.000191,0.024420,5.0000,0.1000
1.120000,0.000000,-0.025641,-0.029637,0.000000,-0.005128,-0.000191,-0.043956,5.0000,0.1000
1.130000,0.000000,-0.059829,-0.048512,0.000000,-0.011966,-0.000191,0.024420,5.0000,0.1000
1.140745,0.000000,-0.008547,-0.048512,0.000000,-0.001709,-0.000191,-0.092796,5.0000,0.1000
1.151113,0.000000,-0.008547,-0.051376,0.000000,-0.001709,-0.000191,0.063492,5.0000,0.1000
1.160099,0.000000,-0.042735,-0.044530,0.000000,-0.008547,-0.000191,-0.102564,5.0000,0.1000
1.170537,0.000000,-0.042735,-0.044530,0.000000,-0.008547,-0.000191,-0.043956,5.0000,0.1000
1.180137,0.000000,-0.008547,-0.027489,0.000000,-0.001709,-0.000191,-0.034188,5.0000,0.1000
1.190136,0.000000,-0.025641,-0.027489,0.000000,-0.005128,-0.000191,-0.034188,5.0000,0.1000
1.200158,0.000000,-0.025641,-0.034848,0.000000,-0.005128,-0.000191,-0.043956,5.0000,0.1000
1.211764,0.000000,0.008547,-0.046010,0.000000,0.001709,-0.000191,-0.043956,5.0000,0.1000
1.221309,0.000000,-0.008547,-0.046010,0.000000,-0.001709,-0.000191,-0.073260,5.0000,0.1000
1.230319,0.000000,0.025641,-0.051908,0.000000,0.005128,-0.000191,-0.083028,5.0000,0.1000
1.241156,0.000000,-0.025641,-0.041767,0.000000,-0.005128,-0.000191,0.034188,5.0000,0.1000
1.250270,0.000000,-0.008547,-0.041767,0.000000,-0.001709,-0.000191,0.102564,5.0000,0.1000
1.260000,0.000000,-0.042735,-0.024757,0.000000,-0.008547,-0.000191,-0.024420,5.0000,0.1000
1.270602,0.000000,-0.008547,-0.043543,0.000000,-0.001709,-0.000191,-0.004884,5.0000,0.1000
