time_s,f_des_N,f_raw_N,f_filt_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s,accel_rad_s2,kp,ki,kd_f,lpf_alpha
0.872407,0.000000,-0.031352,-0.024891,0.000000,0.042735,-0.000191,0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.880054,0.000000,-0.031352,-0.026829,0.000000,0.080342,-0.000191,0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.890455,0.000000,-0.003747,-0.019905,0.000000,0.039316,-0.000191,0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.900100,0.000000,-0.014564,-0.018302,0.000000,0.066667,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.910333,0.000000,-0.014564,-0.017181,0.000000,0.039316,-0.000191,0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.920461,0.000000,-0.024182,-0.019281,0.000000,0.049573,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.930482,0.000000,-0.024182,-0.020751,0.000000,0.046154,-0.000191,0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.940224,0.000000,-0.035080,-0.025050,0.000000,0.042735,-0.000191,0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.950342,0.000000,-0.018695,-0.023143,0.000000,0.042735,-0.000191,0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.960931,0.000000,-0.018695,-0.021809,0.000000,0.046154,-0.000191,-0.141636,0.000000,0.000000,0.000000,0.000000,0.3000
0.970094,0.000000,0.000694,-0.015058,0.000000,0.052991,-0.000191,0.122100,0.000000,0.000000,0.000000,0.000000,0.3000
0.981260,0.000000,-0.022793,-0.017378,0.000000,0.080342,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.991528,0.000000,-0.022793,-0.019003,0.000000,0.042735,-0.000191,0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
1.001243,0.000000,-0.026264,-0.021181,0.000000,0.066667,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
1.010590,0.000000,-0.032690,-0.024634,0.000000,0.046154,-0.000191,-0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
1.020000,0.000000,-0.032690,-0.027051,0.000000,0.042735,-0.000191,0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
1.030373,0.000000,-0.002176,-0.019588,0.000000,0.049573,-0.000191,-0.112332,0.000000,0.000000,0.000000,0.000000,0.3000
1.042104,0.000000,-0.012165,-0.017361,0.000000,0.052991,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
